845.1937, 50.501850000000005, 9.64774, 21.5056
1320.8445, 21.38942, 12.33146, 13.20557
1773.8358, 21.509430000000002, 11.05355, 12.22931
2254.7416, 20.41426, 15.82647, 11.341809999999999
2649.8197, 19.706690000000002, 10.90296, 8.415569999999999
3111.369, 18.61146, 16.161, 10.80498
3485.5652, 18.15343, 13.261019999999998, 5.53717
3857.8055, 18.380950000000002, 12.83371, 5.55213
4216.8526, 18.47587, 11.63788, 5.28465
4565.7053, 18.10578, 11.12598, 5.1765799999999995
4931.3275, 18.53651, 12.32854, 5.15405
5295.1434, 17.881809999999998, 12.808690000000002, 5.07016
5637.9536, 18.04119, 10.475480000000001, 5.2613
5969.2204, 18.126070000000002, 9.24517, 5.25974
6312.059, 18.11167, 10.46451, 5.2132
6678.868, 18.17033, 12.77769, 5.2143999999999995
7051.3365, 17.81584, 13.48828, 5.03208
7421.3702, 18.49504, 12.79794, 5.25218
7776.1083, 17.36061, 12.42182, 5.22059
8142.2655, 18.16583, 12.75456, 5.26507
8510.5899, 18.20052, 13.03021, 5.07631
8866.0443, 18.06289, 11.82948, 5.11492
9231.7375, 18.18955, 12.652750000000001, 5.24808
9581.6777, 18.1619, 11.24717, 5.04141
9943.1003, 18.08184, 12.357, 5.189439999999999
10263.4943, 17.88242, 8.5586, 5.12374
