0, 4239.926, 1413
0, 7284.6894, 1011.6666666666666
0, 10282.3434, 997.3333333333334
0, 13286.6333, 1000.3333333333334
0, 16296.1115, 1002.6666666666666
1, 2878.51, 959.3333333333334
1, 4143.3328, 420.6666666666667
1, 4954.9574, 269.6666666666667
1, 5382.0807, 141.33333333333334
1, 5766.1856, 127
1, 6098.6836, 110
1, 6411.2955, 103.33333333333333
1, 6740.1057, 108.66666666666667
1, 7066.3109, 107.33333333333333
1, 7384.5462, 105.33333333333333
1, 7715.5799, 109.66666666666667
1, 8032.6805, 104.66666666666667
1, 8355.6949, 106.66666666666667
1, 8698.068, 113
1, 9025.2996, 108.33333333333333
1, 9362.2266, 110
1, 9685.3319, 107
1, 10004.5495, 105.66666666666667
1, 10327.5733, 107
1, 10641.7847, 104
1, 10967.2589, 107.66666666666667
1, 11291.834, 107.33333333333333
1, 11621.2602, 109
1, 11938.6633, 105
1, 12269.3703, 109.33333333333333
1, 12588.4935, 105.66666666666667
1, 12917.5634, 108.66666666666667
1, 13239.5447, 106.66666666666667
1, 13611.8011, 123
1, 13935.7868, 107.33333333333333
1, 14253.8445, 105
1, 14570.3375, 104.66666666666667
1, 14920.8398, 109.33333333333333
1, 15250.1912, 109
2, 3838.829919, 1279.609508
2, 7646.167605, 1269.105115
2, 11386.126677, 1246.647866
2, 15121.961615, 1245.273750
3, 746.2619, 248.66666666666666
3, 1498.8782, 249.33333333333334
3, 2243.8827, 247
3, 2987.3309, 246.66666666666666
3, 3725.1778, 244.66666666666666
3, 4473.1512, 248.33333333333334
3, 5214.8857, 246
3, 5959.5087, 246.66666666666666
3, 6703.7572, 246.66666666666666
3, 7447.6447, 246.66666666666666
3, 8202.1182, 247.33333333333334
3, 8949.7911, 248
3, 9715.8525, 251.33333333333334
3, 10470.3592, 250.33333333333334
3, 11224.3241, 249.33333333333334
3, 11968.2923, 246.66666666666666
3, 12711.6984, 245.33333333333334
3, 13454.4927, 246
3, 14201.3285, 245.66666666666666
3, 14944.7747, 246.66666666666666
3, 15687.4461, 246.33333333333334
